SKU,Item Name,Category,Subcategory,Measure Type,Base UOM,Reporting UOM,Inventory UOM,Cost Account,Inventory Account
"597492","Fever Tree Club Soda 200ml","beverage","","Volume","oz","oz","ml","5000","1400"
"598153","Fever Tree Mediterranean Tonic 200ml","beverage","","Volume","oz","oz","ml","5000","1400"
"600660","Barsoal Pisco Puro Quebranta 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"6018001-10","Wagyu Striploin 1lb","meat","","Volume","oz","oz","lb","5000","1400"
"604103","Sipsmith 750ml","liquor","Gin","Each","ea","ea","ea","5000","1400"
"607163","Belvedere 10 750ml","liquor","Vodka","Each","ea","ea","ea","5000","1400"
"60744","Battera Konbu 1each","grocery","","Each","ea","ea","each","5000","1400"
"60747","Rishiri Dasi Konbu 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"60750","Wakame 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"611686","Caymus, 'Special Selection', Cabernet Sauvignon 2019 750ml","wine","","Each","ea","ea","ea","5000","1400"
"615303","Suze 750ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"61658","Shiro Tosaka Reifukanso 1.76oz","grocery","","Volume","oz","oz","oz","5000","1400"
"617934","Casanova di Neri, 'White Label', Brunello di Montalcino 2019 750ml","wine","","Each","ea","ea","ea","5000","1400"
"628121","Faust, Cabernet Sauvignon 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"628756","Copalli White Rum 750ml","liquor","Rum","Each","ea","ea","ea","5000","1400"
"63015","hangiri 10/100 each 10each","grocery","","Each","ea","ea","each","5000","1400"
"63019","TAKA TOKUYO KIZAMI 1each","grocery","","Each","ea","ea","each","5000","1400"
"631029","Laphroaig 10yr 750ml","liquor","Whiskey","Each","ea","ea","ea","5000","1400"
"632061","Fever Tree Ginger Ale Can 250ml","beverage","","Volume","oz","oz","ml","5000","1400"
"637683","Cincoro Cristalino Anejo 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"64051","1Goma Mamenorisan (Soy Paper) 1each","grocery","","Each","ea","ea","each","5000","1400"
"644228","Monkey 47 1L","liquor","Gin","Each","ea","ea","ea","5000","1400"
"653864","Heitz, Cabernet Sauvignon 2021 750ml","wine","","Each","ea","ea","ea","5000","1400"
"66814","Thai Basil 4oz","produce","","Volume","oz","oz","oz","5000","1400"
"66840","Oregano 1oz","produce","","Volume","oz","oz","oz","5000","1400"
"67185","Goose Island IPA 12fl.oz","beer","","Each","ea","ea","ea","5000","1400"
"673","Rustic Loaf 1each","bakery","","Each","ea","ea","each","5000","1400"
"679017","Joseph Phelps, 'Insignia', Red Blend 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"682019","Johnnie Walker Vault 700ml","liquor","","Each","ea","ea","ea","5000","1400"
"682851","Lucci, Lambrusco 750ml","wine","","Each","ea","ea","ea","5000","1400"
"685394","COOKING PORT - Broadbent Port Tawny 10yr 500ml","grocery","","Volume","oz","oz","ml","5000","1400"
"71096","Oyster Sauce Jar 1each","grocery","","Each","ea","ea","each","5000","1400"
"71111","Dates, Pitted 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71150","Kiwi - Food 1each","produce","","Each","ea","ea","each","5000","1400"
"71285","Cantaloupe - Food 1melon","produce","","Volume","oz","oz","melon","5000","1400"
"71319","Hiyashi Wakame 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"71336","Golden Raisin 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71403","Grapefruit 1 each - Bev 1each","beverage","","Each","ea","ea","each","5000","1400"
"71501","Almond, Sliced 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71510","Cashew 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71531","Hazelnut, Blanched 5lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71570","Pistachio, No Shell, No Salt 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71580","Pecans 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"71713","Dirty Sue Olive Juice 750ml","beverage","","Volume","oz","oz","ml","5000","1400"
"72260","Tofu, Firm 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"72283","Feta Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"72298","Cheddar Cheese, Shredded 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"72898","Tahini 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"73184","Boston Lettuce 1head","produce","","Each","ea","ea","head","5000","1400"
"75760","Rice Vinegar 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"7604","Crown Royal 375ml","liquor","","Each","ea","ea","ea","5000","1400"
"76634","San Pellegrino 1L","beverage","","Volume","oz","oz","l","5000","1400"
"77118","Garbanzo Bean, Canned 108oz","grocery","","Volume","oz","oz","oz","5000","1400"
"77176","Capers 32oz","grocery","","Volume","oz","oz","oz","5000","1400"
"77340","Kale, Green 1each","produce","","Each","ea","ea","each","5000","1400"
"77373","Romaine 1each","produce","","Each","ea","ea","each","5000","1400"
"77492","Peas, Frozen 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"77558","Radicchio 1head","produce","","Each","ea","ea","head","5000","1400"
"77570","Radish, Ice 1each","produce","","Each","ea","ea","each","5000","1400"
"77857","Yuzu Kosho Red 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"78096","Pineapple - Bev 1each","beverage","","Each","ea","ea","each","5000","1400"
"78168","Mango - Bev 1each","beverage","","Each","ea","ea","each","5000","1400"
"81432","Pomegranate Molasses 12.7oz","grocery","","Volume","oz","oz","oz","5000","1400"
"8311","Sake, Seasoned 18L","grocery","","Volume","oz","oz","l","5000","1400"
"88951","Fresno Red 1lb","beverage","","Volume","oz","oz","lb","5000","1400"
"89030","CLOVER 18-8 FUKAGATA 1each","produce","","Each","ea","ea","each","5000","1400"
"893113","El Tesoro Blanco 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9001901","Chopin Potato Vodka 1L","liquor","","Each","ea","ea","ea","5000","1400"
"90698","Truffle Peeling, Italy, Bel Aria 1oz","grocery","","Volume","oz","oz","oz","5000","1400"
"91113","Fuji Apple 1each","produce","","Each","ea","ea","each","5000","1400"
"91129","Hangiri Bay Yakinori, Gold 1each","grocery","","Each","ea","ea","each","5000","1400"
"911821","El Tesoro Anejo 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"913418","Macallan Sherry Oak 86 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"91417","Lemon - Bev 1lb","beverage","","Volume","oz","oz","lb","5000","1400"
"91424","Lime 1lb","beverage","","Volume","oz","oz","lb","5000","1400"
"91428","Lemongrass 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"916825","Onion Powder 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"920375","Fregola Sarda 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"920942","Del Maguey Chichicapa 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"921316","Corn Meal 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"92377","Yellow Squash, Straight 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"925065","Gum Powder 450g","grocery","","Weight","oz","oz","g","5000","1400"
"9254871","Marsala Cooking Wine 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"926946","Calabrese, Salame 1lb","meat","","Volume","oz","oz","lb","5000","1400"
"929211","Kewpie Mayonnaise 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"930171","Cinnamon Toast Crunch 1each","grocery","","Each","ea","ea","each","5000","1400"
"930710","Burrata 4oz","dairy","","Volume","oz","oz","oz","5000","1400"
"93165","Kahlua 1L","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"933045","Hamburger Bun 3.2oz","bakery","","Volume","oz","oz","oz","5000","1400"
"934037N","Uno Stabalizer 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"949362","Ronco Belvedere Spark Lambrusco 750ml","wine","","Each","ea","ea","ea","5000","1400"
"950033 ","El Tesoro Extra Anejo 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9612617","Komos Cristalino Anejo 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9619880","Komos Rosa Reposado 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9625624","Komos Extra Anejo 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"964280","Haku 1L","liquor","Vodka","Each","ea","ea","ea","5000","1400"
"965480","Deleon Blanco 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"967085","COOKING PORT, Cockburn, '10yr Tawny' 750ml","grocery","","Volume","oz","oz","ml","5000","1400"
"9672177","Lyres Apertif, Rosso 700ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"9672258","Lyre's Spritz Amalfi 250ml","beverage","","Volume","oz","oz","ml","5000","1400"
"9689658","Maison No. 9 Rose 750ml","wine","","Each","ea","ea","ea","5000","1400"
"97045","Dried Cranberry 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"9713352","El Cristiano Extra Reposado 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"9713357","El Cristiano Silver 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9731842","Bardstown Origin Bourbon 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"973347","Don Julio Anejo 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9756303","El Cristiano Mezcal 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9758888","Lo Siento Anejo 750ml","liquor","Tequila","Each","ea","ea","ea","5000","1400"
"9760","Takara Mirin 700ml","grocery","","Volume","oz","oz","ml","5000","1400"
"9767867","Billaud Simon, Chablis 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"981523","Liquid Alchemist Passionfruit 375ml","beverage","","Volume","oz","oz","ml","5000","1400"
"981525","Liquid Alchemist Grenadine 375ml","beverage","","Volume","oz","oz","ml","5000","1400"
"981532","Liquid Alchemist Ginger Syrup 750ml","beverage","","Volume","oz","oz","ml","5000","1400"
"981535","Liquid Alchemist Ginger Syrup 375ml","beverage","","Volume","oz","oz","ml","5000","1400"
"981540","Liquid Alchemist Prickly Pair 750ml","beverage","","Volume","oz","oz","ml","5000","1400"
"982819","Red Bull Watermelon 8.4fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"983135","Liquid Alchemist Orgeat Syrup 375ml","beverage","","Volume","oz","oz","ml","5000","1400"
"99124","Broccoli 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"991348","Grand Marnier 1L","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"99252","Japanese Eggplant 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99436","Haricot Vert (Green Bean) 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99451","Cippolini Onion 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99480","Parsnip 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99546","Yukon Potato 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99654","Butternut Squash 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99690","Tomatillo 2lb","produce","","Volume","oz","oz","lb","5000","1400"
"99703","Tomato 5x6 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"99963","Garbanzo Bean, Dry 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"ABR2201023","Aubert, Powder House', Chardonnay 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"AC-27976","CHILES-CHIPOTLE IN ADOBO 7oz","grocery","","Volume","oz","oz","oz","5000","1400"
"AG2275","Eisele Vineyard, 'Altagracia', Cabernet Sauvignons 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"BC701701N	","Grapeseed Oil 1L","grocery","","Volume","oz","oz","l","5000","1400"
"BCD1101023","Brocard, 'Ste Claire', Chablis 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"BCD1801022","Brocard, 'Montee de Tonnerre', Chabliss 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"BEY1019-6","Three Spirit, Livener 500ml","liquor","Liqueur","Each","ea","ea","ea","5000","1400"
"BF106	","Heavy Cream 0.5gal","dairy","","Volume","oz","oz","gal","5000","1400"
"BLA01","Black Cod 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"BOTT01","Bottarga 100g","seafood","","Weight","oz","oz","g","5000","1400"
"BREAM35","Black Sea Bream, Kurodai 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"BUR03","Yellowtail 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"CA136","Velveeta Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"CG140","Gruyere King Cut - Food 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"CM102BC","Mascarpone Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"CMF19","Cascina Morassino, Barbaresco 2019 750ml","wine","","Each","ea","ea","ea","5000","1400"
"CP112","Parmigiano Reggiano 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"CR-1125K","Dextrose Powder 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"DM13CIS1","DuMol, 'Charles Heintz - Isobel', Chardonnays 2013 1.5L","wine","","Each","ea","ea","ea","5000","1400"
"DM13PAD1","DuMol, 'Wildrose', Pinot Noir 203 1.5L","wine","","Each","ea","ea","ea","5000","1400"
"DM14SJR2","DuMol, Syrah 2014 750ml","wine","","Each","ea","ea","ea","5000","1400"
"DM15PRV2","DuMol, 'Wester Reach', Pinot Noir 2015 750ml","wine","","Each","ea","ea","ea","5000","1400"
"DM16CHEST2","DuMol, 'Estate', Chardonnay 2016 750ml","wine","","Each","ea","ea","ea","5000","1400"
"DM604","Sour Cream 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"Do-20524102","Fourrier, 'Combe Moine', Gevrey Chambertin 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"EF2188","Ellman Famil Vineyards, 'Brother's Blend', Red Wine 2021 750ml","wine","","Each","ea","ea","ea","5000","1400"
"EF21ES3","Ellman Family Vineyards, Cabernet Sauvignon 2021 750ml","wine","","Each","ea","ea","ea","5000","1400"
"EF23SBCR6","Ellman Family Vineyards, 'Caryn' Sauvignon Blanc 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"EI14262-3","Vanilla Paste Bourbon 32fl.oz","grocery","","Volume","oz","oz","fl","5000","1400"
"EMG-ANEJO2-750","Enemigo Extra Anejo 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"EMG-CRISTAL2-750","Enemigo Anejo Cristalinio 750ml","liquor","","Each","ea","ea","ea","5000","1400"
"GAR08","Gari Amasu (Pickled Ginger) 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"GCRU100127-21","Pierre Peters, 'Cuvee De Reserve', Brut Champagne 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCRU100128-21","Pierre Peters, 'Cuvee de Reserve', Blanc de Blancs Champagne 1.5L","wine","","Each","ea","ea","ea","5000","1400"
"GCRU100142-21","Chartogne Taillet, 'Sainte Anne', Champagne 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCRU100159-23","Penna Currado, 'Bricco Lago', Langhe Nebbiolo 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCRU6430-20","Domaine Brun Avril Chateauneuf-du-Pape Rhone 2020 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCRU908013-22","Savart, 'L'Ouverture 1er Cru, Champagne 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCRU990109-22","Peter Lauer, 'Kupp #7', Riesling Spatlese 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"GCV108FN","Chocolate 55% - Food 1kg","grocery","","Weight","oz","oz","kg","5000","1400"
"GF256","High Gluten Flour 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"GK115","Mini Ketchup 1each","grocery","","Each","ea","ea","each","5000","1400"
"GOM40505","Lemon EVOO 500ml","grocery","","Volume","oz","oz","ml","5000","1400"
"GPDEC26N","Rigatoni Dececco 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"GS109F","Franks Hot Sauce 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"GS125N","Maggi Seasoning 27oz","grocery","","Volume","oz","oz","oz","5000","1400"
"GS209N","Pan Spray, Vegalene 1each","grocery","","Each","ea","ea","each","5000","1400"
"GS430","Granulated Sugar - Food 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"HIR11","Hirame (Fluke) 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"HOT01","Muki Hotate (Scallop) 10each","seafood","","Each","ea","ea","each","5000","1400"
"jolene-black-cold-brew-24-cans","Jolene Cold Brew 1each","beverage","","Volume","oz","oz","each","5000","1400"
"jolene-oat-milk-latte-24-cans","Jolene Oat Milk Latte 1each","beverage","","Volume","oz","oz","each","5000","1400"
"JP-NIZ-41-23","Zankyo, 'Super 7', Junmai Daiginjo Sake 750ml","wine","","Each","ea","ea","ea","5000","1400"
"JS1048FW","Dewazakura Izumi Judan Ginjo 10th Degree 720ml","wine","","Each","ea","ea","ea","5000","1400"
"JS1189FW","SAKE, 'Pinnacle of Perfection', Chotokusen 720ml","wine","","Each","ea","ea","ea","5000","1400"
"JS1198SS","Masumi Nanago 720ml","wine","","Each","ea","ea","ea","5000","1400"
"KANP02","Kampachi 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"MAS03","Masago Arare 10.6oz","seafood","","Volume","oz","oz","oz","5000","1400"
"MC, Black Box, 4ct (3oz)","Black Bean Burgers 1each","produce","","Each","ea","ea","each","5000","1400"
"NWC2715","Ricotta Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"NWC3990","Pecorino Cheese 1lb","dairy","","Volume","oz","oz","lb","5000","1400"
"OCC3801022","Occidental, 'Cuvee Elizabeth', Pinot Noirs 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"OO01","Ooba (Shiso Leaf) 100each","produce","","Each","ea","ea","each","5000","1400"
"P504-6","Chocolate Croissant 1each","bakery","","Each","ea","ea","each","5000","1400"
"P506-6","Croissant, Mini 1each","bakery","","Each","ea","ea","each","5000","1400"
"P602-4","Cheese Danish 1each","bakery","","Each","ea","ea","each","5000","1400"
"P807-6","Chocolate Chip Muffin 1each","bakery","","Each","ea","ea","each","5000","1400"
"P808-4","Blueberry Muffin 1each","bakery","","Each","ea","ea","each","5000","1400"
"PMW4101023","Peter Michael, 'Le Caprice', Pinot Noir 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"PRD0365","Lettuce, FM 1each","produce","","Each","ea","ea","each","5000","1400"
"PRD0494","Bartlett Pear 1lb","produce","","Volume","oz","oz","lb","5000","1400"
"PRD0798","Endive 1Case","produce","","Each","ea","ea","case","5000","1400"
"PRD1244","Cherry Tomato 1each","produce","","Each","ea","ea","each","5000","1400"
"PRD1246","Cherry Tomato Mix 1case","produce","","Each","ea","ea","case","5000","1400"
"PT-EC50","Egyptian Chamomile - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-EG50	","Earl Grey - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-FLG50","Organic French Lemon Ginger - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-GPO50	","Green Pomegranate - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-JR50","Jasmine Reserve - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-PCM50","Pacific Coast Mint - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-RB50	","Rose Black - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-SG50	","Sencha Green - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"PT-WCC50","White Coconut Creme - Pyramid Teabags 1each","beverage","","Volume","oz","oz","each","5000","1400"
"QG14802","Pinto Bean, Canned 46oz","grocery","","Volume","oz","oz","oz","5000","1400"
"QG43750","Sweet Baby Ray BBQ Sauce 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"QG59720","Heinz Ketchup 108oz","grocery","","Volume","oz","oz","oz","5000","1400"
"qz117773","Chocolate Chip, Semi Sweet 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"QZ118850A","Tart Shell 15" 1each","grocery","","Each","ea","ea","each","5000","1400"
"RICR23PNCH","Ceritas, 'Cuvee Chloe', Pinot Noir 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"SAB04","Saba (Japanese Mackerel) 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"SAL08","Yuzu Salt 1each","grocery","","Each","ea","ea","each","5000","1400"
"SASA01","Sasa (Bamboo Leaf) 100each","produce","","Each","ea","ea","each","5000","1400"
"SB2375","Eisele Vineyard, Sauvignon Blanc 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"SCAL01","Scallop (Hotate) 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"SOY02H","Goma Mamenorisan (Soy Paper) 40each","grocery","","Each","ea","ea","each","5000","1400"
"SPC135","Coriander, Whole 9oz","grocery","","Volume","oz","oz","oz","5000","1400"
"SPCI-GRAPE","Grapeseed Oil 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"SPG115B","Garlic Powder 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"SPG128","Ginger Powder 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"SPJETDCOKE","Diet Coke - Bev 8fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"SPP130","Black Peppercorn 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"SPRSCOKE35","Coke 12fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"SPRSHGCOKE","Coke - Bev 8fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"SPRSSPRTE","Sprite 8fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"SPS132	","Paprika Smoked, Spanish 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"SPS132S","Paprika 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"SPSC536383","Sprite 12fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"SPWEB1982","Cranberry Juice 64fl.oz","beverage","","Volume","oz","oz","fl","5000","1400"
"TAI29","Seabream, Medai 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"TBF102	","Tuna Loin 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"TBF103","Tuna, Blue Fin 1lb","seafood","","Volume","oz","oz","lb","5000","1400"
"TRL6801022","Turley, 'Evanghelo Vineyard', Zinfandel 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"UF49985N","Avocado Oil 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"UF53085","Green Olive, Sliced 1gal","grocery","","Volume","oz","oz","gal","5000","1400"
"UF55075","Cornstarch 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"UNI15","Uni, Japan 1Tray","seafood","","Each","ea","ea","tray","5000","1400"
"UNI50","Uni, Santa Barbara 1Tray","seafood","","Each","ea","ea","tray","5000","1400"
"USHIR2023","Hirsch Vineyards, 'The Bohan Dillon', Pinot Noir 2023 750ml","wine","","Each","ea","ea","ea","5000","1400"
"VGS3001120","Vega Sicilia, 'Alion', Ribera del Duero 2020 750ml","wine","","Each","ea","ea","ea","5000","1400"
"VN053060","Rice Bran Oil - Food 35lb","grocery","","Volume","oz","oz","lb","5000","1400"
"VN100010","Sherry Vinegar 25fl.oz","grocery","","Volume","oz","oz","fl","5000","1400"
"VN150474","Pineapple Ring Dehydrated 5lb","beverage","","Volume","oz","oz","lb","5000","1400"
"VN160161","Peanut, Blanched 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"VN160977","Pistachio Raw 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"VN170165","Gluten Free Crackers 4.4oz","grocery","","Volume","oz","oz","oz","5000","1400"
"VN185719","Semolina Flour 1lb","grocery","","Volume","oz","oz","lb","5000","1400"
"VN235979","Cookie Drops, Guittard 1each","grocery","","Each","ea","ea","each","5000","1400"
"VTT4401122","Vietti, 'Scarrone', Barbera d'Alba 2022 750ml","wine","","Each","ea","ea","ea","5000","1400"
"wak04","Seaweed Fresh, Wakameg 1lb","produce","","Volume","oz","oz","lb","5000","1400"