Vendor Name,Item Count
"Spec's Wine, Spirits & Finer Foods",976
"The Chef's Warehouse Midwest LLC",976
"Rare Foods",451
"RNDC",165
"Chefs' Produce",156
"Mr. Greens",155
"Seafood Supply Company, L.P.",134
"SOUTHERN GLAZERS WINE & SPIRITS LLC",95
"Johnson Brothers of Texas",64
"Regalis TX",37
"SYSCO LOS ANGELES INC - ACH",35
"Allen Brothers Texas",30
"MFW - Mexcor Fine Wine",25
"Marbool",18
"Markon",15
"Dairyland Produce, LLC",15
"Oak Farms-Dallas DFA Dairy Brands",13
"MFW - Maekor Fine Wine",12
"Beaune Imports",11
"Empire Baking Company",10
"Farm to Table",9
"Minamoto Wholesale",9
"Texas Roadhouse Steaks",9
"DFA Dairy Brands",5
"Rare Tea Cellar",4
"Rocker Bros Meat & Provision",1